,incident_id,description,category,urgency,status,ci_id,cr_number,resolution,tags,incident_date,cause,app,app_name,trace_id
10,INC10010,Service timeout in EU region,Network,Low,In Progress,,,Issue resolved after thorough analysis and corrective action taken.,"dns, latency, crash",2025-02-28,Generic operational issue requiring investigation.,NOG,Network Operations Group,b1351c0f-40ef-4698-a757-ab2a8fc7ce84
11,INC10011,Application not responding,Performance,Medium,In Progress,,,Issue resolved after thorough analysis and corrective action taken.,"crash, router, latency",2025-03-07,Generic operational issue requiring investigation.,NOG,Network Operations Group,
12,INC10012,Unable to access service,Performance,High,Resolved,,,Configuration corrected and validated with relevant teams before restoration.,"db, dns, latency",2025-02-28,Generic operational issue requiring investigation.,DBG,Database Group,
13,INC10013,Application not responding,Authentication,Low,Resolved,,,Configuration corrected and validated with relevant teams before restoration.,"router, latency, firewall",2025-02-26,Generic operational issue requiring investigation.,EFG,Enterprise Firewall Group,16112d1a-f1dd-47c0-9c2b-4d0cf189f0ae
14,INC10014,High latency in application,Authentication,Medium,In Progress,"DB101,DB102",CRQ937023,Issue resolved after thorough analysis and corrective action taken.,"timeout, db, latency",2025-03-08,Incident caused due to a recent change implementation which led to system instability.,DBG,Database Group,78deb577-30aa-456e-baf7-874e9a58eaab
15,INC10015,Packet loss observed,Network,Low,Open,,,Resolved by restarting the impacted services and monitoring the system for stability.,"timeout, db, auth",2025-03-13,Generic operational issue requiring investigation.,EFG,Enterprise Firewall Group,3b1544f7-2961-4a53-b661-7f34a38de19c
16,INC10016,Authentication failed for multiple users,Database,Low,In Progress,"DB103,DB101,DB102",CRQ900820,Issue resolved after thorough analysis and corrective action taken.,"dns, db, auth",2025-02-23,Incident caused due to a recent change implementation which led to system instability.,DBG,Database Group,
17,INC10017,Packet loss observed,Network,High,Open,"FW003,FW002",CRQ968001,Issue resolved after thorough analysis and corrective action taken.,"timeout, firewall, dns",2025-02-24,Incident caused due to a recent change implementation which led to system instability.,EFG,Enterprise Firewall Group,
18,INC10018,Service timeout in EU region,Connectivity,Low,Resolved,,,Issue resolved after thorough analysis and corrective action taken.,"timeout, router, auth",2025-03-08,Generic operational issue requiring investigation.,NOG,Network Operations Group,
19,INC10019,Firewall blocking outgoing traffic,Network,Medium,Resolved,"FW001,FW003",CRQ955733,Issue resolved after thorough analysis and corrective action taken.,"dns, latency, router",2025-03-12,Incident caused due to a recent change implementation which led to system instability.,EFG,Enterprise Firewall Group,
20,INC10020,DNS lookup failed,Database,Low,Open,,,Issue resolved after thorough analysis and corrective action taken.,"auth, db, dns",2025-03-03,Generic operational issue requiring investigation.,DBG,Database Group,
21,INC10021,Unable to access service,Authentication,Low,In Progress,FW002,CRQ938590,Issue resolved after thorough analysis and corrective action taken.,"db, timeout, firewall",2025-02-19,Incident caused due to a recent change implementation which led to system instability.,EFG,Enterprise Firewall Group,54ce02a3-fa14-4c66-bd4f-e164ce1972bb
22,INC10022,Authentication failed for multiple users,Performance,Low,Open,,,Resolved by restarting the impacted services and monitoring the system for stability.,"crash, firewall, router",2025-02-19,Generic operational issue requiring investigation.,EFG,Enterprise Firewall Group,0d6c84fc-c9be-43d0-96bd-05cdd0339737
23,INC10023,Unable to access service,Network,Low,Resolved,DB102,CRQ956589,Issue resolved after thorough analysis and corrective action taken.,"db, dns, router",2025-02-24,Incident caused due to a recent change implementation which led to system instability.,DBG,Database Group,
24,INC10024,System rebooted unexpectedly,Network,Low,In Progress,AU302,CRQ954291,Issue resolved after thorough analysis and corrective action taken.,"timeout, auth, crash",2025-03-19,Incident caused due to a recent change implementation which led to system instability.,AIG,Authentication and Identity Group,
25,INC10025,Authentication failed for multiple users,Authentication,High,Resolved,,,Issue resolved after thorough analysis and corrective action taken.,"dns, auth, crash",2025-03-19,Generic operational issue requiring investigation.,AIG,Authentication and Identity Group,2d990d74-7bda-4cc7-b9ce-e90a33e31a5a
26,INC10026,Firewall blocking outgoing traffic,Network,High,Open,,,Issue resolved after thorough analysis and corrective action taken.,"auth, dns, timeout",2025-03-13,Generic operational issue requiring investigation.,EFG,Enterprise Firewall Group,
27,INC10027,Unable to access service,Authentication,High,In Progress,"NW203,NW202,NW201",CRQ981616,Issue resolved after thorough analysis and corrective action taken.,"latency, crash, dns",2025-02-24,Incident caused due to a recent change implementation which led to system instability.,NOG,Network Operations Group,
28,INC10028,Application not responding,Authentication,Medium,Resolved,,,Issue resolved after thorough analysis and corrective action taken.,"dns, auth, timeout",2025-03-14,Generic operational issue requiring investigation.,AIG,Authentication and Identity Group,
29,INC10029,Database connection issues,Authentication,Medium,Resolved,,,Issue resolved after thorough analysis and corrective action taken.,"latency, crash, db",2025-02-27,Generic operational issue requiring investigation.,DBG,Database Group,
30,INC10030,High latency in application,Network,Low,In Progress,"NW203,NW201,NW202",CRQ983325,Issue resolved after thorough analysis and corrective action taken.,"router, crash, timeout",2025-03-19,Incident caused due to a recent change implementation which led to system instability.,NOG,Network Operations Group,
31,INC10031,Authentication failed for multiple users,Database,Low,Resolved,NW202,CRQ925114,Issue resolved after thorough analysis and corrective action taken.,"dns, latency, auth",2025-02-19,Incident caused due to a recent change implementation which led to system instability.,NOG,Network Operations Group,
32,INC10032,Application not responding,Connectivity,Low,Open,,,Issue resolved after thorough analysis and corrective action taken.,"router, auth, crash",2025-02-23,Generic operational issue requiring investigation.,NOG,Network Operations Group,e1be253b-dfbb-442f-82b5-0b9c64fd51b6
33,INC10033,Service timeout in EU region,Database,High,Resolved,DB103,CRQ925114,Issue resolved after thorough analysis and corrective action taken.,"router, latency, db",2025-02-20,Incident caused due to a recent change implementation which led to system instability.,DBG,Database Group,52422ef4-f7a3-4cf3-ad27-c1f7d07fd6b2
34,INC10034,DNS lookup failed,Database,High,Open,"DB103,DB101",CRQ950411,Issue resolved after thorough analysis and corrective action taken.,"auth, db, timeout",2025-03-11,Incident caused due to a recent change implementation which led to system instability.,DBG,Database Group,746c6fba-71f8-4689-a4cf-bc09430c27c2
35,INC10035,High latency in application,Network,Low,Resolved,FW003,CRQ927582,Issue resolved after thorough analysis and corrective action taken.,"timeout, firewall, crash",2025-02-22,Incident caused due to a recent change implementation which led to system instability.,EFG,Enterprise Firewall Group,91616527-82fd-4801-a47b-de9608f2b3dd
36,INC10036,System rebooted unexpectedly,Database,Low,Resolved,,,Issue resolved after thorough analysis and corrective action taken.,"router, firewall, dns",2025-02-21,Generic operational issue requiring investigation.,EFG,Enterprise Firewall Group,
37,INC10037,Authentication failed for multiple users,Connectivity,Medium,Open,"FW003,FW002,FW001",CRQ991549,Issue resolved after thorough analysis and corrective action taken.,"firewall, db, dns",2025-03-12,Incident caused due to a recent change implementation which led to system instability.,EFG,Enterprise Firewall Group,f707cc59-01ed-4b25-8dba-9381949cda21
38,INC10038,Packet loss observed,Network,High,In Progress,,,Issue resolved after thorough analysis and corrective action taken.,"crash, timeout, auth",2025-02-25,Generic operational issue requiring investigation.,EFG,Enterprise Firewall Group,74b039f3-ba57-41f9-bcc4-d0499fea145d
39,INC10039,System rebooted unexpectedly,Network,High,Resolved,,,Issue resolved after thorough analysis and corrective action taken.,"auth, dns, db",2025-03-10,Generic operational issue requiring investigation.,DBG,Database Group,
40,INC10040,High latency in application,Performance,High,Open,DB103,CRQ914693,Configuration corrected and validated with relevant teams before restoration.,"auth, db, timeout",2025-03-16,Incident caused due to a recent change implementation which led to system instability.,DBG,Database Group,f27a4420-bb89-4e65-9ff3-b00f95247304
41,INC10041,Authentication failed for multiple users,Database,Low,In Progress,DB103,CRQ931321,Issue resolved after thorough analysis and corrective action taken.,"latency, db, auth",2025-03-17,Incident caused due to a recent change implementation which led to system instability.,DBG,Database Group,b4cb398b-5d4a-4c9a-ba28-c3065c97e432
42,INC10042,Unable to access service,Connectivity,High,In Progress,,,Issue resolved after thorough analysis and corrective action taken.,"auth, db, firewall",2025-02-27,Generic operational issue requiring investigation.,EFG,Enterprise Firewall Group,110a0eae-309e-434e-8a7d-8c57871f15f4
43,INC10043,Database connection issues,Database,Medium,Resolved,,,Issue resolved after thorough analysis and corrective action taken.,"firewall, auth, dns",2025-03-11,Generic operational issue requiring investigation.,EFG,Enterprise Firewall Group,0fa27930-a106-4c36-89a6-b8f2c766b4d5
44,INC10044,Authentication failed for multiple users,Connectivity,Low,Resolved,"DB103,DB101,DB102",CRQ949356,Issue resolved after thorough analysis and corrective action taken.,"auth, db, timeout",2025-03-12,Incident caused due to a recent change implementation which led to system instability.,DBG,Database Group,4e7b33a6-3783-41a5-a806-d30659ea74ba
45,INC10045,Firewall blocking outgoing traffic,Connectivity,Low,In Progress,,,Configuration corrected and validated with relevant teams before restoration.,"timeout, crash, db",2025-02-28,Generic operational issue requiring investigation.,EFG,Enterprise Firewall Group,b901ef2c-c197-414f-adac-b9e890283752
46,INC10046,DNS lookup failed,Database,Medium,Open,,,Issue resolved after thorough analysis and corrective action taken.,"latency, timeout, router",2025-03-19,Generic operational issue requiring investigation.,NOG,Network Operations Group,70b1b820-d9ec-4668-a8e9-31688c267f56
47,INC10047,Service timeout in EU region,Connectivity,Medium,Open,,,Issue resolved after thorough analysis and corrective action taken.,"dns, crash, router",2025-03-18,Generic operational issue requiring investigation.,NOG,Network Operations Group,d86279eb-35c2-4063-8453-8fa23c75171a
48,INC10048,Unable to access service,Connectivity,Medium,In Progress,,,Issue resolved after thorough analysis and corrective action taken.,"db, auth, latency",2025-03-01,Generic operational issue requiring investigation.,DBG,Database Group,
49,INC10049,System rebooted unexpectedly,Network,Low,In Progress,,,Configuration corrected and validated with relevant teams before restoration.,"db, firewall, timeout",2025-03-11,Generic operational issue requiring investigation.,EFG,Enterprise Firewall Group,
50,INC10050,Service timeout in EU region,Authentication,Medium,In Progress,,,Issue resolved after thorough analysis and corrective action taken.,"router, latency, auth",2025-03-04,Generic operational issue requiring investigation.,NOG,Network Operations Group,a4b3af83-f059-47d7-8735-5bb2eafac25a
51,INC10051,DNS lookup failed,Authentication,Low,In Progress,FW001,CRQ995390,Resolved by restarting the impacted services and monitoring the system for stability.,"crash, db, firewall",2025-03-18,Incident caused due to a recent change implementation which led to system instability.,EFG,Enterprise Firewall Group,
52,INC10052,System rebooted unexpectedly,Performance,Medium,Resolved,,,Configuration corrected and validated with relevant teams before restoration.,"dns, latency, timeout",2025-02-23,Generic operational issue requiring investigation.,NOG,Network Operations Group,
53,INC10053,Unable to access service,Database,Medium,Open,"DB102,DB101",CRQ949002,Configuration corrected and validated with relevant teams before restoration.,"crash, router, db",2025-02-28,Incident caused due to a recent change implementation which led to system instability.,DBG,Database Group,
54,INC10054,High latency in application,Performance,Low,Open,,,Issue resolved after thorough analysis and corrective action taken.,"timeout, db, auth",2025-03-19,Generic operational issue requiring investigation.,DBG,Database Group,
55,INC10055,Unable to access service,Authentication,Low,In Progress,"DB102,DB103",CRQ935758,Configuration corrected and validated with relevant teams before restoration.,"db, dns, router",2025-03-20,Incident caused due to a recent change implementation which led to system instability.,DBG,Database Group,
56,INC10056,DNS lookup failed,Performance,Low,Open,,,Resolved by restarting the impacted services and monitoring the system for stability.,"crash, latency, dns",2025-03-03,Generic operational issue requiring investigation.,NOG,Network Operations Group,
57,INC10057,Unable to access service,Performance,High,Resolved,,,Issue resolved after thorough analysis and corrective action taken.,"db, firewall, dns",2025-03-01,Generic operational issue requiring investigation.,EFG,Enterprise Firewall Group,
58,INC10058,High latency in application,Network,High,In Progress,"NW203,NW201,NW202",CRQ991923,Issue resolved after thorough analysis and corrective action taken.,"timeout, latency, router",2025-03-09,Incident caused due to a recent change implementation which led to system instability.,NOG,Network Operations Group,
59,INC10059,Firewall blocking outgoing traffic,Network,Low,Resolved,,,Issue resolved after thorough analysis and corrective action taken.,"auth, dns, timeout",2025-03-11,Generic operational issue requiring investigation.,EFG,Enterprise Firewall Group,314df669-d1fb-435a-9057-de297741c409
60,INC10060,Service timeout in EU region,Network,Low,Open,,,Issue resolved after thorough analysis and corrective action taken.,"latency, db, timeout",2025-03-18,Generic operational issue requiring investigation.,DBG,Database Group,1472459a-b860-49d5-8396-571b37adf8ac
61,INC10061,Application not responding,Database,Low,Resolved,,,Issue resolved after thorough analysis and corrective action taken.,"router, timeout, db",2025-03-16,Generic operational issue requiring investigation.,DBG,Database Group,337417d3-d5f4-47ba-9994-e5f8cf54a212
62,INC10062,Application not responding,Connectivity,Medium,Open,,,Resolved by restarting the impacted services and monitoring the system for stability.,"timeout, auth, db",2025-02-24,Generic operational issue requiring investigation.,DBG,Database Group,94719cfc-39c4-4074-b484-9e9ef15d4fb1
63,INC10063,Database connection issues,Database,Medium,In Progress,"FW003,FW002",CRQ995852,Issue resolved after thorough analysis and corrective action taken.,"timeout, db, firewall",2025-02-23,Incident caused due to a recent change implementation which led to system instability.,EFG,Enterprise Firewall Group,31ff23c6-92c0-4cf4-91da-d04bb4941297
64,INC10064,High latency in application,Authentication,Low,Resolved,,,Configuration corrected and validated with relevant teams before restoration.,"timeout, db, firewall",2025-03-13,Generic operational issue requiring investigation.,EFG,Enterprise Firewall Group,
65,INC10065,System rebooted unexpectedly,Connectivity,High,Open,,,Issue resolved after thorough analysis and corrective action taken.,"router, auth, db",2025-03-04,Generic operational issue requiring investigation.,DBG,Database Group,
66,INC10066,Database connection issues,Performance,High,Open,"FW002,FW003,FW001",CRQ945482,Issue resolved after thorough analysis and corrective action taken.,"firewall, db, timeout",2025-03-01,Incident caused due to a recent change implementation which led to system instability.,EFG,Enterprise Firewall Group,
67,INC10067,High latency in application,Performance,High,Resolved,"FW002,FW003",CRQ953032,Resolved by restarting the impacted services and monitoring the system for stability.,"timeout, latency, firewall",2025-03-15,Incident caused due to a recent change implementation which led to system instability.,EFG,Enterprise Firewall Group,52c2eccc-aea2-483a-8eba-bfa844ddd59d
68,INC10068,System rebooted unexpectedly,Authentication,High,In Progress,,,Issue resolved after thorough analysis and corrective action taken.,"auth, latency, router",2025-02-24,Generic operational issue requiring investigation.,NOG,Network Operations Group,806a4350-950a-4ad2-ac78-42f13d98302d
69,INC10069,Database connection issues,Network,High,Open,,,Issue resolved after thorough analysis and corrective action taken.,"auth, router, dns",2025-02-27,Generic operational issue requiring investigation.,DBG,Database Group,
70,INC10070,Database connection issues,Authentication,Low,Open,"FW002,FW003",CRQ936869,Issue resolved after thorough analysis and corrective action taken.,"crash, firewall, dns",2025-03-19,Incident caused due to a recent change implementation which led to system instability.,EFG,Enterprise Firewall Group,05b25837-efc1-4fba-8259-a1187249caac
71,INC10071,Unable to access service,Authentication,Medium,Resolved,,,Resolved by restarting the impacted services and monitoring the system for stability.,"router, crash, auth",2025-03-08,Generic operational issue requiring investigation.,NOG,Network Operations Group,
72,INC10072,Service timeout in EU region,Performance,Medium,Open,"FW001,FW002,FW003",CRQ959789,Resolved by restarting the impacted services and monitoring the system for stability.,"firewall, router, crash",2025-03-17,Incident caused due to a recent change implementation which led to system instability.,EFG,Enterprise Firewall Group,8cb85f55-922c-44c1-9c1a-efb814f95946
73,INC10073,Authentication failed for multiple users,Network,Medium,Resolved,DB103,CRQ914955,Issue resolved after thorough analysis and corrective action taken.,"latency, db, timeout",2025-03-14,Incident caused due to a recent change implementation which led to system instability.,DBG,Database Group,
74,INC10074,Firewall blocking outgoing traffic,Database,Medium,In Progress,,,Resolved by restarting the impacted services and monitoring the system for stability.,"db, firewall, router",2025-03-05,Generic operational issue requiring investigation.,EFG,Enterprise Firewall Group,
75,INC10075,Firewall blocking outgoing traffic,Connectivity,Low,Resolved,,,Configuration corrected and validated with relevant teams before restoration.,"db, firewall, crash",2025-02-20,Generic operational issue requiring investigation.,EFG,Enterprise Firewall Group,164afe6e-6926-4e54-9fef-fc90ce2dfe32
76,INC10076,Firewall blocking outgoing traffic,Authentication,High,Open,"FW002,FW001",CRQ955381,Issue resolved after thorough analysis and corrective action taken.,"db, router, firewall",2025-03-12,Incident caused due to a recent change implementation which led to system instability.,EFG,Enterprise Firewall Group,505e2656-3b69-4d64-a1e2-cfd1fed95c70
77,INC10077,Database connection issues,Authentication,Medium,In Progress,DB103,CRQ929120,Resolved by restarting the impacted services and monitoring the system for stability.,"db, auth, crash",2025-02-26,Incident caused due to a recent change implementation which led to system instability.,DBG,Database Group,bfe964c9-3920-4169-b76d-a4e69b2b0e46
78,INC10078,Unable to access service,Database,Low,Open,"NW202,NW201",CRQ987415,Configuration corrected and validated with relevant teams before restoration.,"dns, latency, router",2025-03-21,Incident caused due to a recent change implementation which led to system instability.,NOG,Network Operations Group,
79,INC10079,Unable to access service,Performance,High,Resolved,,,Issue resolved after thorough analysis and corrective action taken.,"latency, firewall, router",2025-03-19,Generic operational issue requiring investigation.,EFG,Enterprise Firewall Group,
80,INC10080,Database connection issues,Database,High,Resolved,,,Issue resolved after thorough analysis and corrective action taken.,"auth, firewall, router",2025-03-05,Generic operational issue requiring investigation.,EFG,Enterprise Firewall Group,1ac3f3d6-0773-43e6-a5de-4189455985f1
81,INC10081,System rebooted unexpectedly,Database,Medium,In Progress,DB102,CRQ949313,Issue resolved after thorough analysis and corrective action taken.,"crash, auth, db",2025-03-19,Incident caused due to a recent change implementation which led to system instability.,DBG,Database Group,bb82a4c8-c0d0-4c3f-b32c-4d2575900444
82,INC10082,Application not responding,Connectivity,Medium,In Progress,,,Issue resolved after thorough analysis and corrective action taken.,"firewall, router, dns",2025-03-14,Generic operational issue requiring investigation.,EFG,Enterprise Firewall Group,b6ad1ef1-60ee-4e2f-9a49-18f6bcd4014a
83,INC10083,DNS lookup failed,Connectivity,Low,Resolved,,,Configuration corrected and validated with relevant teams before restoration.,"dns, firewall, timeout",2025-02-26,Generic operational issue requiring investigation.,EFG,Enterprise Firewall Group,70482317-30f0-432b-b63f-0350fe7829d9
84,INC10084,Packet loss observed,Performance,Medium,In Progress,"FW002,FW001,FW003",CRQ966070,Issue resolved after thorough analysis and corrective action taken.,"db, dns, firewall",2025-03-13,Incident caused due to a recent change implementation which led to system instability.,EFG,Enterprise Firewall Group,99b6625d-5a88-4bd1-9d8d-b7c0a86fbb62
85,INC10085,DNS lookup failed,Connectivity,Low,In Progress,,,Configuration corrected and validated with relevant teams before restoration.,"dns, firewall, auth",2025-03-07,Generic operational issue requiring investigation.,EFG,Enterprise Firewall Group,2aa813f1-c1ae-4b00-9258-c7598c625416
86,INC10086,Packet loss observed,Performance,High,Open,,,Issue resolved after thorough analysis and corrective action taken.,"db, firewall, auth",2025-03-17,Generic operational issue requiring investigation.,EFG,Enterprise Firewall Group,
87,INC10087,Packet loss observed,Authentication,Low,Resolved,"FW002,FW003,FW001",CRQ946030,Issue resolved after thorough analysis and corrective action taken.,"dns, auth, router",2025-03-19,Incident caused due to a recent change implementation which led to system instability.,EFG,Enterprise Firewall Group,6989c43d-afb6-407a-baec-c83a86a0437f
88,INC10088,Application not responding,Network,High,Open,NW202,CRQ974677,Configuration corrected and validated with relevant teams before restoration.,"router, latency, crash",2025-03-15,Incident caused due to a recent change implementation which led to system instability.,NOG,Network Operations Group,
89,INC10089,High latency in application,Performance,High,Resolved,,,Issue resolved after thorough analysis and corrective action taken.,"auth, dns, router",2025-03-10,Generic operational issue requiring investigation.,NOG,Network Operations Group,
90,INC10090,Database connection issues,Database,Low,Resolved,FW001,CRQ997727,Issue resolved after thorough analysis and corrective action taken.,"db, crash, firewall",2025-03-04,Incident caused due to a recent change implementation which led to system instability.,EFG,Enterprise Firewall Group,
91,INC10091,Unable to access service,Network,High,Resolved,,,Issue resolved after thorough analysis and corrective action taken.,"latency, crash, dns",2025-03-21,Generic operational issue requiring investigation.,NOG,Network Operations Group,bfe83896-95a3-42ce-8830-7d18e87f90cb
92,INC10092,Unable to access service,Authentication,Medium,Resolved,FW002,CRQ917471,Configuration corrected and validated with relevant teams before restoration.,"timeout, db, firewall",2025-03-02,Incident caused due to a recent change implementation which led to system instability.,EFG,Enterprise Firewall Group,b426515e-66eb-43a5-95ad-216871de122b
93,INC10093,System rebooted unexpectedly,Network,High,Resolved,"FW002,FW001,FW003",CRQ977343,Resolved by restarting the impacted services and monitoring the system for stability.,"firewall, router, crash",2025-03-13,Incident caused due to a recent change implementation which led to system instability.,EFG,Enterprise Firewall Group,51c0bd68-c79e-479f-9317-7e9fed3523ab
94,INC10094,Authentication failed for multiple users,Authentication,Low,In Progress,,,Issue resolved after thorough analysis and corrective action taken.,"router, db, crash",2025-03-20,Generic operational issue requiring investigation.,DBG,Database Group,aeb9ae96-34fe-40eb-b0b8-7075e24a88ad
95,INC10095,Application not responding,Performance,High,Open,"NW201,NW202,NW203",CRQ972797,Configuration corrected and validated with relevant teams before restoration.,"crash, latency, auth",2025-02-25,Incident caused due to a recent change implementation which led to system instability.,NOG,Network Operations Group,
96,INC10096,DNS lookup failed,Connectivity,High,Resolved,"NW203,NW201,NW202",CRQ974053,Configuration corrected and validated with relevant teams before restoration.,"timeout, crash, router",2025-03-03,Incident caused due to a recent change implementation which led to system instability.,NOG,Network Operations Group,748510e7-2d67-4a7c-ac47-4aa58e22e9bf
97,INC10097,High latency in application,Connectivity,Low,In Progress,,,Issue resolved after thorough analysis and corrective action taken.,"router, crash, auth",2025-03-09,Generic operational issue requiring investigation.,NOG,Network Operations Group,
98,INC10098,Application not responding,Authentication,High,Resolved,,,Issue resolved after thorough analysis and corrective action taken.,"crash, latency, db",2025-03-16,Generic operational issue requiring investigation.,DBG,Database Group,
99,INC10099,Unable to access service,Authentication,High,Open,"FW002,FW001",CRQ929882,Issue resolved after thorough analysis and corrective action taken.,"latency, router, firewall",2025-03-09,Incident caused due to a recent change implementation which led to system instability.,EFG,Enterprise Firewall Group,75f9d96c-16e1-4ccb-abed-9eb55bae73b3
100,INC10100,DNS lookup failed,Connectivity,Medium,In Progress,,,Issue resolved after thorough analysis and corrective action taken.,"crash, timeout, router",2025-03-17,Generic operational issue requiring investigation.,NOG,Network Operations Group,
101,INC10101,High latency in application,Authentication,Low,Resolved,NW202,CRQ901060,Issue resolved after thorough analysis and corrective action taken.,"auth, crash, latency",2025-03-19,Incident caused due to a recent change implementation which led to system instability.,NOG,Network Operations Group,ebe8c840-7379-4633-b55a-87552b73464f
102,INC10102,System rebooted unexpectedly,Authentication,Medium,Resolved,,,Configuration corrected and validated with relevant teams before restoration.,"db, firewall, crash",2025-02-25,Generic operational issue requiring investigation.,EFG,Enterprise Firewall Group,0a706489-eb00-410a-bf85-fbca10d50ab7
103,INC10103,Application not responding,Database,Medium,In Progress,,,Issue resolved after thorough analysis and corrective action taken.,"timeout, router, auth",2025-03-19,Generic operational issue requiring investigation.,NOG,Network Operations Group,3e9fe8e0-d9e0-48da-9ee7-228cb990eb76
104,INC10104,System rebooted unexpectedly,Network,High,Open,,,Issue resolved after thorough analysis and corrective action taken.,"db, timeout, dns",2025-02-25,Generic operational issue requiring investigation.,DBG,Database Group,
105,INC10105,Firewall blocking outgoing traffic,Performance,High,In Progress,"FW001,FW002",CRQ972289,Issue resolved after thorough analysis and corrective action taken.,"auth, timeout, firewall",2025-03-03,Incident caused due to a recent change implementation which led to system instability.,EFG,Enterprise Firewall Group,
106,INC10106,Database connection issues,Performance,Medium,Open,"DB102,DB101",CRQ929618,Resolved by restarting the impacted services and monitoring the system for stability.,"auth, db, crash",2025-02-19,Incident caused due to a recent change implementation which led to system instability.,DBG,Database Group,
107,INC10107,Service timeout in EU region,Network,High,Resolved,"DB101,DB102,DB103",CRQ970129,Resolved by restarting the impacted services and monitoring the system for stability.,"timeout, db, dns",2025-03-11,Incident caused due to a recent change implementation which led to system instability.,DBG,Database Group,f87879fb-3f78-43b7-9bed-5cea5e6efcf5
108,INC10108,High latency in application,Authentication,Low,In Progress,,,Issue resolved after thorough analysis and corrective action taken.,"dns, db, timeout",2025-03-04,Generic operational issue requiring investigation.,DBG,Database Group,
109,INC10109,DNS lookup failed,Network,Low,Open,FW003,CRQ962793,Issue resolved after thorough analysis and corrective action taken.,"timeout, firewall, router",2025-02-24,Incident caused due to a recent change implementation which led to system instability.,EFG,Enterprise Firewall Group,
110,INC10110,Application not responding,Network,Medium,Resolved,"FW001,FW002,FW003",CRQ919663,Issue resolved after thorough analysis and corrective action taken.,"router, firewall, dns",2025-03-15,Incident caused due to a recent change implementation which led to system instability.,EFG,Enterprise Firewall Group,
111,INC10111,High latency in application,Authentication,Medium,Open,,,Issue resolved after thorough analysis and corrective action taken.,"timeout, dns, db",2025-02-19,Generic operational issue requiring investigation.,DBG,Database Group,6272f061-fc16-4a44-9328-99969d54b488
112,INC10112,Database connection issues,Database,High,In Progress,,,Resolved by restarting the impacted services and monitoring the system for stability.,"db, auth, firewall",2025-02-25,Generic operational issue requiring investigation.,EFG,Enterprise Firewall Group,
113,INC10113,System rebooted unexpectedly,Performance,High,Open,,,Issue resolved after thorough analysis and corrective action taken.,"router, crash, latency",2025-03-10,Generic operational issue requiring investigation.,NOG,Network Operations Group,3e669534-c559-4102-900d-7c4cbfa47d19
114,INC10114,DNS lookup failed,Connectivity,High,In Progress,"DB102,DB103,DB101",CRQ944369,Issue resolved after thorough analysis and corrective action taken.,"timeout, crash, db",2025-03-01,Incident caused due to a recent change implementation which led to system instability.,DBG,Database Group,
115,INC10115,Service timeout in EU region,Authentication,Low,Resolved,,,Issue resolved after thorough analysis and corrective action taken.,"firewall, crash, timeout",2025-03-05,Generic operational issue requiring investigation.,EFG,Enterprise Firewall Group,d8392c45-1d62-4142-a83d-888e4479a5c0
