incident_id,description,category,urgency,status,ci_id,cr_number,resolution,tags,incident_date,cause
INC10028,Application not responding,Authentication,Medium,Resolved,CI-1CE63E7D,CRQ968525,Increased heap size,"dns, auth, timeout",2025-03-14,Manual Error
INC10029,Database connection issues,Authentication,Medium,Resolved,CI-9A69A441,CRQ978702,Increased heap size,"latency, crash, db",2025-02-27,Network Glitch
INC10030,High latency in application,Network,Low,In Progress,CI-8FBDDC04,CRQ983325,Updated routing table,"router, crash, timeout",2025-03-19,Change
INC10031,Authentication failed for multiple users,Database,Low,Resolved,CI-DE8D4597,CRQ925114,,"dns, latency, auth",2025-02-19,Change
INC10032,Application not responding,Connectivity,Low,Open,CI-FEAE6368,CRQ969332,Updated routing table,"router, auth, crash",2025-02-23,Network Glitch
INC10033,Service timeout in EU region,Database,High,Resolved,CI-34393CCA,CRQ925114,Increased heap size,"router, latency, db",2025-02-20,Change
INC10034,DNS lookup failed,Database,High,Open,CI-16880A9A,CRQ950411,,"auth, db, timeout",2025-03-11,Change
INC10035,High latency in application,Network,Low,Resolved,CI-E052D553,CRQ927582,,"timeout, firewall, crash",2025-02-22,Change
INC10036,System rebooted unexpectedly,Database,Low,Resolved,CI-53B556DA,CRQ995852,,"router, firewall, dns",2025-02-21,Infra Issue
INC10037,Authentication failed for multiple users,Connectivity,Medium,Open,CI-F3DC27D5,CRQ991549,Increased heap size,"firewall, db, dns",2025-03-12,Change
INC10038,Packet loss observed,Network,High,In Progress,CI-CBA703B4,CRQ984809,Whitelisted IP range,"crash, timeout, auth",2025-02-25,Unknown
INC10039,System rebooted unexpectedly,Network,High,Resolved,CI-DE8D4597,CRQ992693,Increased heap size,"auth, dns, db",2025-03-10,Infra Issue
INC10040,High latency in application,Performance,High,Open,CI-6CA0F946,CRQ914693,Reconfigured firewall rules,"auth, db, timeout",2025-03-16,Change
INC10041,Authentication failed for multiple users,Database,Low,In Progress,CI-78D7E4EB,CRQ931321,Whitelisted IP range,"latency, db, auth",2025-03-17,Change
INC10042,Unable to access service,Connectivity,High,In Progress,CI-291C7AF7,CRQ953171,Cleared DNS cache,"auth, db, firewall",2025-02-27,Unknown
INC10043,Database connection issues,Database,Medium,Resolved,CI-B6A46B30,CRQ924929,,"firewall, auth, dns",2025-03-11,Unknown
INC10044,Authentication failed for multiple users,Connectivity,Low,Resolved,CI-DD846996,CRQ949356,Updated routing table,"auth, db, timeout",2025-03-12,Change
INC10045,Firewall blocking outgoing traffic,Connectivity,Low,In Progress,CI-F081C3E2,CRQ900281,Reconfigured firewall rules,"timeout, crash, db",2025-02-28,Manual Error
INC10046,DNS lookup failed,Database,Medium,Open,CI-403106D9,CRQ922235,Whitelisted IP range,"latency, timeout, router",2025-03-19,Manual Error
INC10047,Service timeout in EU region,Connectivity,Medium,Open,CI-13823F6F,CRQ950463,Cleared DNS cache,"dns, crash, router",2025-03-18,Unknown
INC10048,Unable to access service,Connectivity,Medium,In Progress,CI-BD72E658,CRQ980680,Increased heap size,"db, auth, latency",2025-03-01,Network Glitch
INC10049,System rebooted unexpectedly,Network,Low,In Progress,CI-6BA1D2F9,CRQ956589,Reconfigured firewall rules,"db, firewall, timeout",2025-03-11,Network Glitch
INC10050,Service timeout in EU region,Authentication,Medium,In Progress,CI-85009BE0,CRQ906374,Whitelisted IP range,"router, latency, auth",2025-03-04,Unknown
INC10051,DNS lookup failed,Authentication,Low,In Progress,CI-FEB9E731,CRQ995390,Restarted service,"crash, db, firewall",2025-03-18,Change
INC10052,System rebooted unexpectedly,Performance,Medium,Resolved,CI-619B8270,CRQ911842,Reconfigured firewall rules,"dns, latency, timeout",2025-02-23,Infra Issue
INC10053,Unable to access service,Database,Medium,Open,CI-F7FDC10D,CRQ949002,Reconfigured firewall rules,"crash, router, db",2025-02-28,Change
INC10054,High latency in application,Performance,Low,Open,CI-4E8CC79E,CRQ970129,Whitelisted IP range,"timeout, db, auth",2025-03-19,Unknown
INC10055,Unable to access service,Authentication,Low,In Progress,CI-40208989,CRQ935758,Reconfigured firewall rules,"db, dns, router",2025-03-20,Change
INC10056,DNS lookup failed,Performance,Low,Open,CI-D5746A4A,CRQ957081,Restarted service,"crash, latency, dns",2025-03-03,Unknown
INC10057,Unable to access service,Performance,High,Resolved,CI-1CE63E7D,CRQ928339,Whitelisted IP range,"db, firewall, dns",2025-03-01,Infra Issue
INC10058,High latency in application,Network,High,In Progress,CI-E052D553,CRQ991923,Whitelisted IP range,"timeout, latency, router",2025-03-09,Change
INC10059,Firewall blocking outgoing traffic,Network,Low,Resolved,CI-6E4827E0,CRQ953036,Whitelisted IP range,"auth, dns, timeout",2025-03-11,Unknown
INC10060,Service timeout in EU region,Network,Low,Open,CI-80DBA4BB,CRQ924832,Whitelisted IP range,"latency, db, timeout",2025-03-18,Infra Issue
INC10061,Application not responding,Database,Low,Resolved,CI-F3DC27D5,CRQ978716,Whitelisted IP range,"router, timeout, db",2025-03-16,Manual Error
INC10062,Application not responding,Connectivity,Medium,Open,CI-78BD6716,CRQ950821,Restarted service,"timeout, auth, db",2025-02-24,Manual Error
INC10063,Database connection issues,Database,Medium,In Progress,CI-6CA0F946,CRQ995852,,"timeout, db, firewall",2025-02-23,Change
INC10064,High latency in application,Authentication,Low,Resolved,CI-4C7385F1,CRQ972999,Reconfigured firewall rules,"timeout, db, firewall",2025-03-13,Manual Error
INC10065,System rebooted unexpectedly,Connectivity,High,Open,CI-1A411B1F,CRQ944711,Cleared DNS cache,"router, auth, db",2025-03-04,Unknown
INC10066,Database connection issues,Performance,High,Open,CI-5E3534B8,CRQ945482,Increased heap size,"firewall, db, timeout",2025-03-01,Change
INC10067,High latency in application,Performance,High,Resolved,CI-85009BE0,CRQ953032,Restarted service,"timeout, latency, firewall",2025-03-15,Change
INC10068,System rebooted unexpectedly,Authentication,High,In Progress,CI-C0C87F23,CRQ961694,Whitelisted IP range,"auth, latency, router",2025-02-24,Unknown
INC10069,Database connection issues,Network,High,Open,CI-34393CCA,CRQ955216,Updated routing table,"auth, router, dns",2025-02-27,Unknown
INC10070,Database connection issues,Authentication,Low,Open,CI-324B6A9C,CRQ936869,,"crash, firewall, dns",2025-03-19,Change
INC10071,Unable to access service,Authentication,Medium,Resolved,CI-C0C87F23,CRQ924929,Restarted service,"router, crash, auth",2025-03-08,Unknown
INC10072,Service timeout in EU region,Performance,Medium,Open,CI-1E16354D,CRQ959789,Restarted service,"firewall, router, crash",2025-03-17,Change
INC10073,Authentication failed for multiple users,Network,Medium,Resolved,CI-CCFFF606,CRQ914955,Updated routing table,"latency, db, timeout",2025-03-14,Change
INC10074,Firewall blocking outgoing traffic,Database,Medium,In Progress,CI-C0C87F23,CRQ975363,Restarted service,"db, firewall, router",2025-03-05,Unknown
INC10075,Firewall blocking outgoing traffic,Connectivity,Low,Resolved,CI-06F70C98,CRQ995390,Reconfigured firewall rules,"db, firewall, crash",2025-02-20,Network Glitch
INC10076,Firewall blocking outgoing traffic,Authentication,High,Open,CI-2FDE67B6,CRQ955381,Cleared DNS cache,"db, router, firewall",2025-03-12,Change
INC10077,Database connection issues,Authentication,Medium,In Progress,CI-1BF32CB7,CRQ929120,Restarted service,"db, auth, crash",2025-02-26,Change
INC10078,Unable to access service,Database,Low,Open,CI-34393CCA,CRQ987415,Reconfigured firewall rules,"dns, latency, router",2025-03-21,Change
INC10079,Unable to access service,Performance,High,Resolved,CI-41F7A6BB,CRQ966730,Updated routing table,"latency, firewall, router",2025-03-19,Unknown
INC10080,Database connection issues,Database,High,Resolved,CI-EA57CD70,CRQ950377,Updated routing table,"auth, firewall, router",2025-03-05,Unknown
INC10081,System rebooted unexpectedly,Database,Medium,In Progress,CI-566F7AA7,CRQ949313,Updated routing table,"crash, auth, db",2025-03-19,Change
INC10082,Application not responding,Connectivity,Medium,In Progress,CI-5E3534B8,CRQ939612,Whitelisted IP range,"firewall, router, dns",2025-03-14,Network Glitch
INC10083,DNS lookup failed,Connectivity,Low,Resolved,CI-4C7385F1,CRQ953171,Reconfigured firewall rules,"dns, firewall, timeout",2025-02-26,Unknown
INC10084,Packet loss observed,Performance,Medium,In Progress,CI-F7FDC10D,CRQ966070,Whitelisted IP range,"db, dns, firewall",2025-03-13,Change
INC10085,DNS lookup failed,Connectivity,Low,In Progress,CI-0921C4C6,CRQ915433,Reconfigured firewall rules,"dns, firewall, auth",2025-03-07,Unknown
INC10086,Packet loss observed,Performance,High,Open,CI-80DBA4BB,CRQ931321,Cleared DNS cache,"db, firewall, auth",2025-03-17,Unknown
INC10087,Packet loss observed,Authentication,Low,Resolved,CI-55755844,CRQ946030,Increased heap size,"dns, auth, router",2025-03-19,Change
INC10088,Application not responding,Network,High,Open,CI-1005D47E,CRQ974677,Reconfigured firewall rules,"router, latency, crash",2025-03-15,Change
INC10089,High latency in application,Performance,High,Resolved,CI-92B49625,CRQ912702,,"auth, dns, router",2025-03-10,Infra Issue
INC10090,Database connection issues,Database,Low,Resolved,CI-064526BF,CRQ997727,Increased heap size,"db, crash, firewall",2025-03-04,Change
INC10091,Unable to access service,Network,High,Resolved,CI-BA06172F,CRQ917481,,"latency, crash, dns",2025-03-21,Unknown
INC10092,Unable to access service,Authentication,Medium,Resolved,CI-BA06172F,CRQ917471,Reconfigured firewall rules,"timeout, db, firewall",2025-03-02,Change
INC10093,System rebooted unexpectedly,Network,High,Resolved,CI-627A162A,CRQ977343,Restarted service,"firewall, router, crash",2025-03-13,Change
INC10094,Authentication failed for multiple users,Authentication,Low,In Progress,CI-62648CF1,CRQ936869,Whitelisted IP range,"router, db, crash",2025-03-20,Unknown
INC10095,Application not responding,Performance,High,Open,CI-5B8CC68D,CRQ972797,Reconfigured firewall rules,"crash, latency, auth",2025-02-25,Change
INC10096,DNS lookup failed,Connectivity,High,Resolved,CI-E7221F06,CRQ974053,Reconfigured firewall rules,"timeout, crash, router",2025-03-03,Change
INC10097,High latency in application,Connectivity,Low,In Progress,CI-A0FA0F7E,CRQ914294,,"router, crash, auth",2025-03-09,Unknown
INC10098,Application not responding,Authentication,High,Resolved,CI-001456E7,CRQ949751,Cleared DNS cache,"crash, latency, db",2025-03-16,Manual Error
INC10099,Unable to access service,Authentication,High,Open,CI-6BA1D2F9,CRQ929882,Increased heap size,"latency, router, firewall",2025-03-09,Change
INC10100,DNS lookup failed,Connectivity,Medium,In Progress,CI-F4AB59BA,CRQ916524,Whitelisted IP range,"crash, timeout, router",2025-03-17,Unknown
INC10101,High latency in application,Authentication,Low,Resolved,CI-BA06172F,CRQ901060,Cleared DNS cache,"auth, crash, latency",2025-03-19,Change
INC10102,System rebooted unexpectedly,Authentication,Medium,Resolved,CI-200CCE31,CRQ953036,Reconfigured firewall rules,"db, firewall, crash",2025-02-25,Manual Error
INC10103,Application not responding,Database,Medium,In Progress,CI-FEAE6368,CRQ969420,Increased heap size,"timeout, router, auth",2025-03-19,Unknown
INC10104,System rebooted unexpectedly,Network,High,Open,CI-53B556DA,CRQ944711,Updated routing table,"db, timeout, dns",2025-02-25,Manual Error
INC10105,Firewall blocking outgoing traffic,Performance,High,In Progress,CI-A57A86E1,CRQ972289,,"auth, timeout, firewall",2025-03-03,Change
INC10106,Database connection issues,Performance,Medium,Open,CI-001456E7,CRQ929618,Restarted service,"auth, db, crash",2025-02-19,Change
INC10107,Service timeout in EU region,Network,High,Resolved,CI-2FDE67B6,CRQ970129,Restarted service,"timeout, db, dns",2025-03-11,Change
INC10108,High latency in application,Authentication,Low,In Progress,CI-5E3534B8,CRQ966627,Cleared DNS cache,"dns, db, timeout",2025-03-04,Unknown
INC10109,DNS lookup failed,Network,Low,Open,CI-A0FA0F7E,CRQ962793,Increased heap size,"timeout, firewall, router",2025-02-24,Change
INC10110,Application not responding,Network,Medium,Resolved,CI-8751D263,CRQ919663,Whitelisted IP range,"router, firewall, dns",2025-03-15,Change
INC10111,High latency in application,Authentication,Medium,Open,CI-DD846996,CRQ939731,Cleared DNS cache,"timeout, dns, db",2025-02-19,Unknown
INC10112,Database connection issues,Database,High,In Progress,CI-0921C4C6,CRQ913534,Restarted service,"db, auth, firewall",2025-02-25,Unknown
INC10113,System rebooted unexpectedly,Performance,High,Open,CI-E864E104,CRQ966791,Cleared DNS cache,"router, crash, latency",2025-03-10,Unknown
INC10114,DNS lookup failed,Connectivity,High,In Progress,CI-F33AA9C4,CRQ944369,Whitelisted IP range,"timeout, crash, db",2025-03-01,Change
INC10115,Service timeout in EU region,Authentication,Low,Resolved,CI-200CCE31,CRQ963276,,"firewall, crash, timeout",2025-03-05,Unknown
INC10116,System rebooted unexpectedly,Performance,Low,Open,CI-5D825301,CRQ955468,Restarted service,"dns, auth, db",2025-03-20,Unknown
INC10117,DNS lookup failed,Authentication,Medium,Open,CI-2439E08A,CRQ950463,Restarted service,"auth, dns, router",2025-03-03,Network Glitch
INC10118,Authentication failed for multiple users,Connectivity,Low,Resolved,CI-F1197441,CRQ927582,Increased heap size,"latency, db, auth",2025-02-25,Change
INC10119,Firewall blocking outgoing traffic,Authentication,High,In Progress,CI-EA57CD70,CRQ999929,,"router, db, dns",2025-03-12,Unknown
INC10120,Firewall blocking outgoing traffic,Performance,Low,In Progress,CI-D5746A4A,CRQ951621,Increased heap size,"auth, router, timeout",2025-02-26,Unknown
INC10121,Authentication failed for multiple users,Authentication,High,Resolved,CI-001456E7,CRQ924113,Increased heap size,"timeout, firewall, latency",2025-03-03,Network Glitch
INC10122,Service timeout in EU region,Authentication,Low,In Progress,CI-F33AA9C4,CRQ930095,Cleared DNS cache,"timeout, latency, firewall",2025-03-16,Change
INC10123,High latency in application,Connectivity,Low,In Progress,CI-E052D553,CRQ914970,Updated routing table,"auth, timeout, db",2025-02-21,Infra Issue
INC10124,High latency in application,Authentication,High,Open,CI-F081C3E2,CRQ968106,,"router, auth, latency",2025-03-14,Unknown
INC10125,Unable to access service,Network,Medium,Resolved,CI-78BD6716,CRQ983959,Increased heap size,"db, firewall, router",2025-03-20,Manual Error
INC10126,Application not responding,Performance,High,In Progress,CI-8751D263,CRQ910970,Restarted service,"router, crash, db",2025-03-09,Change
INC10127,Service timeout in EU region,Performance,Medium,In Progress,CI-6CA0F946,CRQ997727,Increased heap size,"timeout, auth, dns",2025-03-01,Manual Error
INC10128,Packet loss observed,Network,High,Resolved,CI-788425BE,CRQ994452,Restarted service,"firewall, crash, latency",2025-03-17,Network Glitch
INC10129,High latency in application,Performance,Medium,Open,CI-13823F6F,CRQ956283,Whitelisted IP range,"timeout, latency, db",2025-03-14,Change
INC10130,DNS lookup failed,Connectivity,Medium,Open,CI-8751D263,CRQ960100,,"auth, db, latency",2025-03-19,Network Glitch
INC10131,Unable to access service,Performance,Medium,Open,CI-324B6A9C,CRQ969304,Increased heap size,"firewall, timeout, crash",2025-03-01,Unknown
INC10132,Unable to access service,Database,Low,Open,CI-40208989,CRQ940271,Whitelisted IP range,"latency, dns, auth",2025-03-09,Change
INC10133,Service timeout in EU region,Authentication,Medium,Open,CI-0A130978,CRQ948529,Restarted service,"auth, crash, latency",2025-03-20,Network Glitch
INC10134,Application not responding,Database,Medium,Resolved,CI-2FDE67B6,CRQ975363,Whitelisted IP range,"router, firewall, auth",2025-03-17,Unknown
INC10135,Authentication failed for multiple users,Authentication,Low,Resolved,CI-7342C0ED,CRQ964199,Restarted service,"auth, db, latency",2025-03-05,Unknown
INC10136,Unable to access service,Performance,High,Resolved,CI-77B123A1,CRQ951773,Restarted service,"timeout, db, auth",2025-03-14,Network Glitch
INC10137,Packet loss observed,Performance,Medium,In Progress,CI-41F7A6BB,CRQ968001,Restarted service,"timeout, router, crash",2025-03-01,Change
INC10138,Database connection issues,Database,Low,Resolved,CI-BE0E4321,CRQ940328,Whitelisted IP range,"timeout, dns, latency",2025-03-01,Network Glitch
INC10139,Firewall blocking outgoing traffic,Network,High,In Progress,CI-0447FD5C,CRQ970012,Restarted service,"dns, latency, crash",2025-03-19,Change
INC10140,Firewall blocking outgoing traffic,Performance,Low,Open,CI-C3AEAC79,CRQ940511,Updated routing table,"dns, router, auth",2025-02-21,Unknown
INC10141,Service timeout in EU region,Database,Medium,Open,CI-DE8D4597,CRQ960466,Whitelisted IP range,"crash, auth, firewall",2025-02-22,Change
INC10142,Authentication failed for multiple users,Database,Low,Resolved,CI-B6F7696E,CRQ968878,Restarted service,"router, dns, latency",2025-03-08,Network Glitch
INC10143,DNS lookup failed,Connectivity,Medium,In Progress,CI-CBA703B4,CRQ946660,Increased heap size,"latency, router, timeout",2025-03-18,Change
INC10144,Application not responding,Database,High,Resolved,CI-1C80998E,CRQ946030,Restarted service,"dns, timeout, router",2025-03-04,Change
INC10145,System rebooted unexpectedly,Authentication,Medium,Open,CI-817D3670,CRQ919589,Cleared DNS cache,"firewall, auth, crash",2025-03-03,Unknown
INC10146,High latency in application,Network,High,In Progress,CI-1E857052,CRQ954291,Reconfigured firewall rules,"db, latency, firewall",2025-03-21,Change
INC10147,High latency in application,Connectivity,Medium,In Progress,CI-0447FD5C,CRQ925316,Increased heap size,"crash, timeout, auth",2025-03-15,Change
INC10148,Application not responding,Network,High,Open,CI-0447FD5C,CRQ900467,Cleared DNS cache,"firewall, auth, router",2025-03-07,Change
INC10149,Authentication failed for multiple users,Network,High,Open,CI-E864E104,CRQ928937,Increased heap size,"router, firewall, latency",2025-03-11,Unknown
INC10150,Application not responding,Connectivity,High,In Progress,CI-BE0E4321,CRQ992693,Cleared DNS cache,"db, auth, latency",2025-02-19,Change
INC10151,Unable to access service,Database,High,In Progress,CI-291C7AF7,CRQ941886,Restarted service,"timeout, db, dns",2025-02-25,Infra Issue
INC10152,DNS lookup failed,Authentication,High,In Progress,CI-8FBDDC04,CRQ960693,Whitelisted IP range,"timeout, crash, dns",2025-02-26,Unknown
INC10153,System rebooted unexpectedly,Database,Low,In Progress,CI-6E4827E0,CRQ924832,Increased heap size,"auth, db, crash",2025-02-27,Change
INC10154,Authentication failed for multiple users,Authentication,High,Resolved,CI-F081C3E2,CRQ946030,Restarted service,"auth, db, timeout",2025-02-23,Infra Issue
INC10155,Unable to access service,Authentication,Medium,In Progress,CI-5CBCAC88,CRQ980357,,"dns, timeout, auth",2025-03-15,Unknown
INC10156,Application not responding,Database,High,Resolved,CI-5E3534B8,CRQ954256,Cleared DNS cache,"firewall, auth, latency",2025-03-04,Infra Issue
INC10157,Firewall blocking outgoing traffic,Connectivity,Low,Resolved,CI-163F178B,CRQ994452,Increased heap size,"router, db, timeout",2025-03-03,Unknown
INC10158,Application not responding,Database,Medium,Resolved,CI-F28930B5,CRQ935758,Updated routing table,"dns, firewall, db",2025-03-16,Manual Error
INC10159,Packet loss observed,Performance,High,Open,CI-CA13A68E,CRQ905981,Restarted service,"dns, crash, latency",2025-03-13,Change
INC10160,System rebooted unexpectedly,Authentication,High,Resolved,CI-1E857052,CRQ988271,Increased heap size,"auth, latency, firewall",2025-02-27,Unknown
INC10161,Service timeout in EU region,Authentication,High,Resolved,CI-34393CCA,CRQ939731,Reconfigured firewall rules,"latency, crash, db",2025-03-15,Change
INC10162,Unable to access service,Connectivity,Medium,Resolved,CI-2D91E268,CRQ938590,,"db, timeout, router",2025-02-24,Unknown
INC10163,Firewall blocking outgoing traffic,Database,Low,Resolved,CI-85009BE0,CRQ950411,Restarted service,"auth, db, firewall",2025-03-10,Change
INC10164,Service timeout in EU region,Database,Medium,In Progress,CI-F3DC27D5,CRQ928937,Updated routing table,"latency, auth, firewall",2025-03-21,Manual Error
INC10165,Packet loss observed,Network,Low,Open,CI-5B8CC68D,CRQ988222,Whitelisted IP range,"timeout, dns, db",2025-03-01,Change
INC10166,High latency in application,Network,High,Resolved,CI-F3DC27D5,CRQ941898,Restarted service,"firewall, latency, db",2025-02-25,Manual Error
INC10167,Database connection issues,Authentication,Low,In Progress,CI-F081C3E2,CRQ953036,Reconfigured firewall rules,"crash, latency, auth",2025-03-05,Unknown
INC10168,Packet loss observed,Network,Low,Resolved,CI-77B123A1,CRQ996283,,"crash, latency, auth",2025-03-17,Unknown
INC10169,Unable to access service,Connectivity,Medium,In Progress,CI-BE0E4321,CRQ959191,Whitelisted IP range,"db, latency, dns",2025-03-09,Change
INC10170,Application not responding,Performance,Low,Open,CI-F081C3E2,CRQ915582,Cleared DNS cache,"auth, crash, latency",2025-03-11,Infra Issue
INC10171,DNS lookup failed,Performance,Medium,Resolved,CI-B6A46B30,CRQ941861,Reconfigured firewall rules,"auth, latency, crash",2025-03-16,Infra Issue
INC10172,Application not responding,Connectivity,Medium,In Progress,CI-41F7A6BB,CRQ927508,Updated routing table,"latency, router, firewall",2025-03-17,Change
INC10173,Authentication failed for multiple users,Database,Low,In Progress,CI-4C7385F1,CRQ974921,Cleared DNS cache,"crash, timeout, router",2025-03-20,Change
INC10174,Service timeout in EU region,Network,High,Resolved,CI-D5746A4A,CRQ950007,Whitelisted IP range,"crash, timeout, firewall",2025-03-16,Change
INC10175,Firewall blocking outgoing traffic,Authentication,High,In Progress,CI-5E3534B8,CRQ988271,Increased heap size,"timeout, latency, dns",2025-03-03,Manual Error
INC10176,High latency in application,Performance,Medium,Resolved,CI-C3AEAC79,CRQ922259,Updated routing table,"firewall, latency, auth",2025-03-07,Unknown
INC10177,Firewall blocking outgoing traffic,Performance,Medium,In Progress,CI-566F7AA7,CRQ946660,Whitelisted IP range,"timeout, firewall, latency",2025-02-19,Network Glitch
INC10178,Service timeout in EU region,Database,High,In Progress,CI-D5746A4A,CRQ910970,Whitelisted IP range,"timeout, crash, latency",2025-03-07,Change
INC10179,Service timeout in EU region,Network,High,Open,CI-2D91E268,CRQ917864,Cleared DNS cache,"db, router, crash",2025-02-27,Unknown
INC10180,Packet loss observed,Authentication,Medium,In Progress,CI-E7221F06,CRQ968001,Increased heap size,"crash, latency, timeout",2025-02-19,Change
INC10181,System rebooted unexpectedly,Connectivity,Medium,In Progress,CI-5CBCAC88,CRQ998230,Reconfigured firewall rules,"db, auth, timeout",2025-02-20,Manual Error
INC10182,Unable to access service,Authentication,High,Resolved,CI-CD8722F4,CRQ960337,Cleared DNS cache,"timeout, latency, db",2025-03-02,Unknown
INC10183,Unable to access service,Performance,High,Resolved,CI-2FDE67B6,CRQ966070,Reconfigured firewall rules,"router, latency, auth",2025-03-05,Change
INC10184,Authentication failed for multiple users,Performance,Medium,Open,CI-85009BE0,CRQ942274,Whitelisted IP range,"db, dns, latency",2025-03-15,Unknown
INC10185,Unable to access service,Connectivity,Low,Open,CI-2D91E268,CRQ984212,Whitelisted IP range,"router, latency, crash",2025-03-05,Change
INC10186,System rebooted unexpectedly,Network,High,Open,CI-0447FD5C,CRQ955468,Whitelisted IP range,"timeout, crash, router",2025-03-20,Unknown
INC10187,Firewall blocking outgoing traffic,Authentication,Low,Resolved,CI-627A162A,CRQ946261,Cleared DNS cache,"auth, firewall, db",2025-03-04,Unknown
INC10188,DNS lookup failed,Connectivity,Medium,In Progress,CI-06F70C98,CRQ951621,Increased heap size,"router, db, timeout",2025-02-20,Change
INC10189,Application not responding,Authentication,High,In Progress,CI-FEB9E731,CRQ969332,Whitelisted IP range,"firewall, auth, router",2025-03-09,Unknown
INC10190,Service timeout in EU region,Authentication,High,In Progress,CI-79936698,CRQ925114,Whitelisted IP range,"firewall, auth, timeout",2025-02-24,Change
INC10191,DNS lookup failed,Connectivity,Low,Resolved,CI-34393CCA,CRQ983835,Increased heap size,"timeout, firewall, crash",2025-02-25,Change
INC10192,Packet loss observed,Connectivity,Low,In Progress,CI-E864E104,CRQ901060,Whitelisted IP range,"crash, db, firewall",2025-03-03,Infra Issue
INC10193,Firewall blocking outgoing traffic,Connectivity,Medium,Resolved,CI-6E4827E0,CRQ937059,Restarted service,"latency, timeout, db",2025-02-22,Unknown
